id,domain,micro_topic,page_type,fact_bucket,sentence_function,audience,source_title,source_url,source_supported_en
eye_012,eye,dry_eye,symptoms,symptoms,explanation,patient,Dry Eye | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/dry-eye,Dry eye can cause burning scratchiness red eyes blurry vision and sensitivity to light.
eye_013,eye,dry_eye,diagnosis,diagnosis,faq,patient,Dry Eye | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/dry-eye,Your doctor can check for dry eye during a comprehensive dilated eye exam and may measure tear amount tear stability and eyelid structure.
eye_014,eye,dry_eye,treatment,treatment_overview,faq,patient,Dry Eye | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/dry-eye,Treatment for dry eye may include artificial tears prescription eye drops tear-duct plugs or other measures based on the cause.
eye_015,eye,dry_eye,lifestyle,self_care,instruction,patient,Dry Eye | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/dry-eye,To ease dry eye try avoiding smoke and wind taking screen breaks using a humidifier drinking water and getting enough sleep.
eye_016,eye,diabetic_retinopathy,overview,definition,definition,patient,Diabetic Retinopathy | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/diabetic-retinopathy,Diabetic retinopathy damages the blood vessels in the retina and can cause vision loss or blindness in people with diabetes.
eye_017,eye,diabetic_retinopathy,symptoms,silent_disease,warning,patient,Diabetic Retinopathy | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/diabetic-retinopathy,Early diabetic retinopathy may have no symptoms even while damage is beginning.
eye_018,eye,diabetic_retinopathy,symptoms,symptoms,explanation,patient,Diabetic Retinopathy | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/diabetic-retinopathy,Later diabetic retinopathy can cause blurry vision and dark floating spots or streaks in your vision.
eye_019,eye,diabetic_retinopathy,diagnosis,screening,instruction,patient,Diabetic Retinopathy | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/diabetic-retinopathy,If you have diabetes get a comprehensive dilated eye exam at least once a year.
eye_020,eye,diabetic_retinopathy,prevention,prevention,counseling,patient,Diabetic Retinopathy | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/diabetic-retinopathy,Managing blood sugar blood pressure and cholesterol can help lower the risk of diabetic retinopathy and related vision loss.
eye_021,eye,dilated_eye_exam,prevention,screening_purpose,definition,patient,Get a Dilated Eye Exam | National Eye Institute,https://www.nei.nih.gov/eye-health-information/healthy-vision/finding-eye-doctor/get-dilated-eye-exam,A dilated eye exam is one of the best ways to detect eye disease early before it causes vision loss.
eye_022,eye,dilated_eye_exam,prevention,screening_schedule,instruction,patient,Get a Dilated Eye Exam | National Eye Institute,https://www.nei.nih.gov/eye-health-information/healthy-vision/finding-eye-doctor/get-dilated-eye-exam,Most people with diabetes or high blood pressure need a dilated eye exam at least once a year.
eye_023,eye,dilated_eye_exam,diagnosis,exam_steps,faq,patient,Get a Dilated Eye Exam | National Eye Institute,https://www.nei.nih.gov/eye-health-information/healthy-vision/finding-eye-doctor/get-dilated-eye-exam,A dilated eye exam may include tests of visual acuity peripheral vision eye movements pupil response eye pressure and dilation itself.
eye_024,eye,dilated_eye_exam,aftercare,aftercare,instruction,patient,Get a Dilated Eye Exam | National Eye Institute,https://www.nei.nih.gov/eye-health-information/healthy-vision/finding-eye-doctor/get-dilated-eye-exam,Your vision may stay blurry and your eyes may feel light-sensitive for a few hours after dilation so sunglasses and a ride home can help.
