id,domain,micro_topic,page_type,fact_bucket,sentence_function,audience,source_title,source_url,source_supported_en
heart_011,heart_disease,heart_failure,symptoms,symptoms,explanation,patient,"Heart Failure - Symptoms | NHLBI, NIH",https://www.nhlbi.nih.gov/health/heart-failure/symptoms,Heart failure symptoms usually get worse as the heart grows weaker.
heart_012,heart_disease,heart_failure,symptoms,early_symptoms,warning,patient,"Heart Failure - Symptoms | NHLBI, NIH",https://www.nhlbi.nih.gov/health/heart-failure/symptoms,Shortness of breath during routine tasks such as climbing stairs may be one of the first signs of heart failure.
heart_013,heart_disease,heart_failure,symptoms,left_sided_symptoms,faq,patient,"Heart Failure - Symptoms | NHLBI, NIH",https://www.nhlbi.nih.gov/health/heart-failure/symptoms,Left-sided heart failure can cause trouble breathing cough fatigue weakness and difficulty lying flat to sleep.
heart_014,heart_disease,heart_failure,symptoms,right_sided_symptoms,faq,patient,"Heart Failure - Symptoms | NHLBI, NIH",https://www.nhlbi.nih.gov/health/heart-failure/symptoms,Right-sided heart failure may lead to swelling in the feet legs or abdomen along with nausea loss of appetite frequent urination or weight gain.
heart_015,heart_disease,heart_failure,complications,complications,warning,patient,"Heart Failure - Symptoms | NHLBI, NIH",https://www.nhlbi.nih.gov/health/heart-failure/symptoms,Heart failure can damage the kidneys or liver and can cause fluid to build up in or around the lungs.
heart_016,heart_disease,arrhythmia,overview,definition,definition,patient,"Arrhythmias - What Is an Arrhythmia? | NHLBI, NIH",https://www.nhlbi.nih.gov/health/arrhythmias,An arrhythmia is a problem with the rate or rhythm of the heartbeat so the heart may beat too fast too slow or irregularly.
heart_017,heart_disease,arrhythmia,symptoms,symptoms,explanation,patient,"Arrhythmias - What Is an Arrhythmia? | NHLBI, NIH",https://www.nhlbi.nih.gov/health/arrhythmias,A frequent irregular rhythm may reduce blood flow and leave you dizzy faint or otherwise unwell.
heart_018,heart_disease,arrhythmia,complications,complications,warning,patient,"Arrhythmias - What Is an Arrhythmia? | NHLBI, NIH",https://www.nhlbi.nih.gov/health/arrhythmias,Untreated arrhythmias can damage the heart brain or other organs and may lead to stroke heart failure or cardiac arrest.
heart_019,heart_disease,arrhythmia,treatment,treatment_overview,faq,patient,"Arrhythmias - Treatment | NHLBI, NIH",https://www.nhlbi.nih.gov/health/arrhythmias/treatment,Arrhythmia treatment may include medicines cardioversion catheter ablation pacemakers or implantable defibrillators.
heart_020,heart_disease,bypass_surgery,recovery,recovery_expectations,faq,patient,"Coronary Artery Bypass Grafting - Recovery from Surgery | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-artery-bypass-grafting/recovery,After CABG many people stay in the hospital about a week and need roughly 6 to 12 weeks to recover fully at home.
heart_021,heart_disease,bypass_surgery,recovery,aftercare,explanation,patient,"Coronary Artery Bypass Grafting - Recovery from Surgery | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-artery-bypass-grafting/recovery,Short-term side effects after bypass surgery may include chest pain near the incision constipation poor appetite mood changes sleep problems tiredness or swelling where the graft was taken.
heart_022,heart_disease,bypass_surgery,recovery,medicines,faq,patient,"Coronary Artery Bypass Grafting - Recovery from Surgery | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-artery-bypass-grafting/recovery,After CABG your doctor may prescribe medicines for pain blood pressure cholesterol blood clots or irregular rhythms.
heart_023,heart_disease,bypass_surgery,recovery,rehab,instruction,patient,"Coronary Artery Bypass Grafting - Recovery from Surgery | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-artery-bypass-grafting/recovery,Cardiac rehabilitation can help you recover more safely by combining supervised exercise heart-healthy education and stress counseling.
heart_024,heart_disease,bypass_surgery,recovery,emergency_warning,warning,patient,"Coronary Artery Bypass Grafting - Recovery from Surgery | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-artery-bypass-grafting/recovery,If you develop signs of a heart attack after bypass surgery call 9-1-1 right away because a blocked graft can stop blood flow to the heart.
