id,domain,micro_topic,page_type,fact_bucket,sentence_function,audience,source_title,source_url,source_supported_en
cancer_013,cancer,cervical_cancer_treatment,treatment,treatment_planning,explanation,patient,Cervical Cancer Treatment - NCI,https://www.cancer.gov/types/cervical/treatment,Cervical cancer treatment may involve more than one type of therapy and the plan depends on stage overall health and personal preferences.
cancer_014,cancer,cervical_cancer_treatment,treatment,counseling,instruction,patient,Cervical Cancer Treatment - NCI,https://www.cancer.gov/types/cervical/treatment,If you are worried about fertility ask your cancer care team about it before cervical cancer treatment begins.
cancer_015,cancer,cervical_cancer_treatment,treatment,treatment_overview,definition,patient,Cervical Cancer Treatment - NCI,https://www.cancer.gov/types/cervical/treatment,Chemotherapy for cervical cancer may be given alone or together with other treatments.
cancer_016,cancer,cervical_cancer_treatment,follow_up,follow_up,faq,patient,Cervical Cancer Treatment - NCI,https://www.cancer.gov/types/cervical/treatment,After cervical cancer treatment follow-up visits are often scheduled every 3 to 4 months for the first 2 years and then every 6 months.
cancer_017,cancer,cervical_cancer_screening,screening,screening_purpose,definition,patient,Cervical Cancer Screening - NCI,https://www.cancer.gov/types/cervical/screening,Cervical cancer screening aims to find precancerous cell changes before cancer develops or spreads.
cancer_018,cancer,cervical_cancer_screening,screening,screening_methods,faq,patient,Cervical Cancer Screening - NCI,https://www.cancer.gov/types/cervical/screening,The three main cervical screening approaches are the HPV test the Pap test and the HPV/Pap cotest.
cancer_019,cancer,cervical_cancer_screening,screening,screening_schedule,instruction,patient,Cervical Cancer Screening - NCI,https://www.cancer.gov/types/cervical/screening,For people ages 21 to 29 the USPSTF recommends starting Pap testing at age 21 and repeating it every 3 years.
cancer_020,cancer,cervical_cancer_screening,screening,screening_schedule,warning,patient,Cervical Cancer Screening - NCI,https://www.cancer.gov/types/cervical/screening,Even if you have had HPV vaccination you still need to follow cervical cancer screening recommendations.
cancer_021,cancer,palliative_care,supportive_care,definition,definition,patient,Palliative Care in Cancer - NCI,https://www.cancer.gov/about-cancer/advanced-cancer/care-choices/palliative-care-fact-sheet,Palliative care focuses on improving quality of life and can be given together with curative cancer treatment.
cancer_022,cancer,palliative_care,supportive_care,symptom_management,explanation,patient,Definition of palliative care - NCI Dictionary of Cancer Terms - NCI,https://www.cancer.gov/publications/dictionaries/cancer-terms/def/palliative-care,Palliative care may include surgery radiation therapy or chemotherapy when those treatments are used to reduce symptoms such as pain.
cancer_023,cancer,pain_management,side_effects,pain_control,counseling,patient,Pain and Cancer Treatment - Side Effects - NCI,https://www.cancer.gov/about-cancer/treatment/side-effects/pain,Cancer pain can often be controlled with pain medicine and non-drug approaches.
cancer_024,cancer,pain_management,side_effects,pain_control,instruction,patient,Pain and Cancer Treatment - Side Effects - NCI,https://www.cancer.gov/about-cancer/treatment/side-effects/pain,Tell your care team how well your pain plan is working because untreated pain can become harder to control later.
