id,domain,micro_topic,page_type,fact_bucket,sentence_function,audience,source_title,source_url,source_supported_en
cancer_013,cancer,cervical_cancer_treatment,treatment,treatment_planning,explanation,patient,Cervical Cancer Treatment - NCI,https://www.cancer.gov/types/cervical/treatment,Cervical cancer treatment may involve more than one type of therapy and the plan depends on stage overall health and personal preferences.
cancer_014,cancer,cervical_cancer_treatment,treatment,counseling,instruction,patient,Cervical Cancer Treatment - NCI,https://www.cancer.gov/types/cervical/treatment,If you are worried about fertility ask your cancer care team about it before cervical cancer treatment begins.
cancer_015,cancer,cervical_cancer_treatment,treatment,treatment_overview,definition,patient,Cervical Cancer Treatment - NCI,https://www.cancer.gov/types/cervical/treatment,Chemotherapy for cervical cancer may be given alone or together with other treatments.
cancer_016,cancer,cervical_cancer_treatment,follow_up,follow_up,faq,patient,Cervical Cancer Treatment - NCI,https://www.cancer.gov/types/cervical/treatment,After cervical cancer treatment follow-up visits are often scheduled every 3 to 4 months for the first 2 years and then every 6 months.
cancer_017,cancer,cervical_cancer_screening,screening,screening_purpose,definition,patient,Cervical Cancer Screening - NCI,https://www.cancer.gov/types/cervical/screening,Cervical cancer screening aims to find precancerous cell changes before cancer develops or spreads.
cancer_018,cancer,cervical_cancer_screening,screening,screening_methods,faq,patient,Cervical Cancer Screening - NCI,https://www.cancer.gov/types/cervical/screening,The three main cervical screening approaches are the HPV test the Pap test and the HPV/Pap cotest.
cancer_019,cancer,cervical_cancer_screening,screening,screening_schedule,instruction,patient,Cervical Cancer Screening - NCI,https://www.cancer.gov/types/cervical/screening,For people ages 21 to 29 the USPSTF recommends starting Pap testing at age 21 and repeating it every 3 years.
cancer_020,cancer,cervical_cancer_screening,screening,screening_schedule,warning,patient,Cervical Cancer Screening - NCI,https://www.cancer.gov/types/cervical/screening,Even if you have had HPV vaccination you still need to follow cervical cancer screening recommendations.
cancer_021,cancer,palliative_care,supportive_care,definition,definition,patient,Palliative Care in Cancer - NCI,https://www.cancer.gov/about-cancer/advanced-cancer/care-choices/palliative-care-fact-sheet,Palliative care focuses on improving quality of life and can be given together with curative cancer treatment.
cancer_022,cancer,palliative_care,supportive_care,symptom_management,explanation,patient,Definition of palliative care - NCI Dictionary of Cancer Terms - NCI,https://www.cancer.gov/publications/dictionaries/cancer-terms/def/palliative-care,Palliative care may include surgery radiation therapy or chemotherapy when those treatments are used to reduce symptoms such as pain.
cancer_023,cancer,pain_management,side_effects,pain_control,counseling,patient,Pain and Cancer Treatment - Side Effects - NCI,https://www.cancer.gov/about-cancer/treatment/side-effects/pain,Cancer pain can often be controlled with pain medicine and non-drug approaches.
cancer_024,cancer,pain_management,side_effects,pain_control,instruction,patient,Pain and Cancer Treatment - Side Effects - NCI,https://www.cancer.gov/about-cancer/treatment/side-effects/pain,Tell your care team how well your pain plan is working because untreated pain can become harder to control later.
heart_001,heart_disease,coronary_heart_disease,overview,definition,definition,patient,"Coronary Heart Disease - What Is Coronary Heart Disease? | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-heart-disease,Coronary heart disease happens when plaque narrows the heart's arteries and reduces the flow of oxygen-rich blood to the heart muscle.
heart_002,heart_disease,coronary_heart_disease,overview,prevention,explanation,patient,"Coronary Heart Disease - What Is Coronary Heart Disease? | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-heart-disease,For many people coronary heart disease can be prevented or slowed with a heart-healthy lifestyle and medicines.
heart_003,heart_disease,coronary_heart_disease,symptoms,silent_disease,warning,patient,"Coronary Heart Disease - Symptoms | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-heart-disease/symptoms,Coronary heart disease may stay silent until it causes a heart attack or another complication.
heart_004,heart_disease,coronary_heart_disease,symptoms,symptoms,explanation,patient,"Coronary Heart Disease - Symptoms | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-heart-disease/symptoms,As plaque builds up you may notice chest pain shortness of breath or neck pain during activity and the symptoms may improve with rest.
heart_005,heart_disease,coronary_heart_disease,diagnosis,diagnosis,faq,patient,"Coronary Heart Disease - What Is Coronary Heart Disease? | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-heart-disease,Doctors diagnose coronary heart disease using symptoms medical and family history risk factors and heart tests.
heart_006,heart_disease,coronary_heart_disease,risk_factors,risk_factors,explanation,patient,"Coronary Heart Disease - Risk Factors | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-heart-disease/risk-factors,Smoking high blood pressure high LDL cholesterol diabetes obesity and poor sleep can all raise the risk of coronary heart disease.
heart_007,heart_disease,heart_attack,emergency,warning_signs,warning,patient,"Coronary Heart Disease - Symptoms | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-heart-disease/symptoms,Heart attack pain may feel like pressure squeezing tightness or burning and it can spread to the shoulders arms neck jaw or back.
heart_008,heart_disease,heart_attack,emergency,warning_signs,explanation,patient,"Coronary Heart Disease - Symptoms | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-heart-disease/symptoms,Cold sweats dizziness nausea shortness of breath and weakness can also happen during a heart attack.
heart_009,heart_disease,heart_attack,emergency,sex_specific_symptoms,warning,patient,"Coronary Heart Disease - Symptoms | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-heart-disease/symptoms,Women are less likely than men to report classic chest pain during a heart attack and may instead notice dizziness extreme tiredness nausea or stomach pain.
heart_010,heart_disease,heart_attack,emergency,urgent_action,instruction,patient,"Coronary Heart Disease - Symptoms | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-heart-disease/symptoms,If you cannot tell whether chest pain is a heart attack call 9-1-1 right away.
heart_011,heart_disease,heart_failure,symptoms,symptoms,explanation,patient,"Heart Failure - Symptoms | NHLBI, NIH",https://www.nhlbi.nih.gov/health/heart-failure/symptoms,Heart failure symptoms usually get worse as the heart grows weaker.
heart_012,heart_disease,heart_failure,symptoms,early_symptoms,warning,patient,"Heart Failure - Symptoms | NHLBI, NIH",https://www.nhlbi.nih.gov/health/heart-failure/symptoms,Shortness of breath during routine tasks such as climbing stairs may be one of the first signs of heart failure.
heart_013,heart_disease,heart_failure,symptoms,left_sided_symptoms,faq,patient,"Heart Failure - Symptoms | NHLBI, NIH",https://www.nhlbi.nih.gov/health/heart-failure/symptoms,Left-sided heart failure can cause trouble breathing cough fatigue weakness and difficulty lying flat to sleep.
heart_014,heart_disease,heart_failure,symptoms,right_sided_symptoms,faq,patient,"Heart Failure - Symptoms | NHLBI, NIH",https://www.nhlbi.nih.gov/health/heart-failure/symptoms,Right-sided heart failure may lead to swelling in the feet legs or abdomen along with nausea loss of appetite frequent urination or weight gain.
heart_015,heart_disease,heart_failure,complications,complications,warning,patient,"Heart Failure - Symptoms | NHLBI, NIH",https://www.nhlbi.nih.gov/health/heart-failure/symptoms,Heart failure can damage the kidneys or liver and can cause fluid to build up in or around the lungs.
heart_016,heart_disease,arrhythmia,overview,definition,definition,patient,"Arrhythmias - What Is an Arrhythmia? | NHLBI, NIH",https://www.nhlbi.nih.gov/health/arrhythmias,An arrhythmia is a problem with the rate or rhythm of the heartbeat so the heart may beat too fast too slow or irregularly.
heart_017,heart_disease,arrhythmia,symptoms,symptoms,explanation,patient,"Arrhythmias - What Is an Arrhythmia? | NHLBI, NIH",https://www.nhlbi.nih.gov/health/arrhythmias,A frequent irregular rhythm may reduce blood flow and leave you dizzy faint or otherwise unwell.
heart_018,heart_disease,arrhythmia,complications,complications,warning,patient,"Arrhythmias - What Is an Arrhythmia? | NHLBI, NIH",https://www.nhlbi.nih.gov/health/arrhythmias,Untreated arrhythmias can damage the heart brain or other organs and may lead to stroke heart failure or cardiac arrest.
heart_019,heart_disease,arrhythmia,treatment,treatment_overview,faq,patient,"Arrhythmias - Treatment | NHLBI, NIH",https://www.nhlbi.nih.gov/health/arrhythmias/treatment,Arrhythmia treatment may include medicines cardioversion catheter ablation pacemakers or implantable defibrillators.
heart_020,heart_disease,bypass_surgery,recovery,recovery_expectations,faq,patient,"Coronary Artery Bypass Grafting - Recovery from Surgery | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-artery-bypass-grafting/recovery,After CABG many people stay in the hospital about a week and need roughly 6 to 12 weeks to recover fully at home.
heart_021,heart_disease,bypass_surgery,recovery,aftercare,explanation,patient,"Coronary Artery Bypass Grafting - Recovery from Surgery | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-artery-bypass-grafting/recovery,Short-term side effects after bypass surgery may include chest pain near the incision constipation poor appetite mood changes sleep problems tiredness or swelling where the graft was taken.
heart_022,heart_disease,bypass_surgery,recovery,medicines,faq,patient,"Coronary Artery Bypass Grafting - Recovery from Surgery | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-artery-bypass-grafting/recovery,After CABG your doctor may prescribe medicines for pain blood pressure cholesterol blood clots or irregular rhythms.
heart_023,heart_disease,bypass_surgery,recovery,rehab,instruction,patient,"Coronary Artery Bypass Grafting - Recovery from Surgery | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-artery-bypass-grafting/recovery,Cardiac rehabilitation can help you recover more safely by combining supervised exercise heart-healthy education and stress counseling.
heart_024,heart_disease,bypass_surgery,recovery,emergency_warning,warning,patient,"Coronary Artery Bypass Grafting - Recovery from Surgery | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-artery-bypass-grafting/recovery,If you develop signs of a heart attack after bypass surgery call 9-1-1 right away because a blocked graft can stop blood flow to the heart.
diabetes_001,diabetes,diabetes_overview,overview,definition,definition,patient,Diabetes Overview - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview,Diabetes occurs when blood glucose also called blood sugar is too high.
diabetes_002,diabetes,diabetes_overview,overview,types,faq,patient,Diabetes Overview - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview,The main types of diabetes are type 1 type 2 and gestational diabetes.
diabetes_003,diabetes,diabetes_overview,symptoms,symptoms,explanation,patient,Diabetes Overview - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview,Common diabetes symptoms include increased thirst frequent urination tiredness unexplained weight loss and blurred vision.
diabetes_004,diabetes,diabetes_overview,symptoms,silent_disease,warning,patient,Diabetes Overview - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview,Some people with diabetes have no symptoms and may not realize they have the disease.
diabetes_005,diabetes,diabetes_management,management,care_plan,counseling,patient,Managing Diabetes - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/managing-diabetes,A diabetes care plan should combine healthy habits medicines and blood glucose management in a way that works for you.
diabetes_006,diabetes,diabetes_management,management,abcs,faq,patient,Managing Diabetes - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/managing-diabetes,The diabetes ABCs focus on A1C blood pressure and cholesterol and quitting smoking is also important.
diabetes_007,diabetes,diabetes_management,management,benefits,explanation,patient,Managing Diabetes - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/managing-diabetes,Managing your diabetes well can lower the risk of heart attack stroke kidney disease blindness and amputations.
diabetes_008,diabetes,diabetes_management,management,team_care,counseling,patient,Managing Diabetes - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/managing-diabetes,You are the most important member of your diabetes health care team.
diabetes_009,diabetes,healthy_living,lifestyle,meal_plan,explanation,patient,Healthy Living with Diabetes - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/healthy-living-with-diabetes,What you eat how much you eat and when you eat are all important parts of a diabetes meal plan.
diabetes_010,diabetes,healthy_living,lifestyle,prevention,counseling,patient,Healthy Living with Diabetes - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/healthy-living-with-diabetes,Healthy living can help keep blood glucose blood pressure and cholesterol in range and may delay complications that affect the heart kidneys eyes and brain.
diabetes_011,diabetes,healthy_living,lifestyle,weight_management,faq,patient,Healthy Living with Diabetes - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/healthy-living-with-diabetes,If you have overweight or obesity losing 5% to 7% of your current weight may help improve blood glucose blood pressure and cholesterol.
diabetes_012,diabetes,a1c_test,diagnosis,test_meaning,faq,patient,The A1C Test & Diabetes - NIDDK,https://www.niddk.nih.gov/health-information/diagnostic-tests/a1c-test,The A1C test shows your average blood glucose level over the past 3 months.
diabetes_013,diabetes,a1c_test,diagnosis,thresholds,definition,patient,Diabetes & Prediabetes Tests - NIDDK,https://www.niddk.nih.gov/health-information/professionals/clinical-tools-patient-management/diabetes/diabetes-prediabetes,An A1C of 5.7% to 6.4% is used for prediabetes screening and diagnosis.
diabetes_014,diabetes,a1c_test,diagnosis,thresholds,definition,patient,Diabetes & Prediabetes Tests - NIDDK,https://www.niddk.nih.gov/health-information/professionals/clinical-tools-patient-management/diabetes/diabetes-prediabetes,An A1C of 6.5% or higher can support a diagnosis of type 2 diabetes and usually needs repeat confirmation.
diabetes_015,diabetes,a1c_test,management,goals,counseling,patient,Managing Diabetes - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/managing-diabetes,For many people with diabetes the A1C goal is below 7% but personal goals can differ.
diabetes_016,diabetes,hypoglycemia,emergency,risk,warning,patient,Low Blood Glucose (Hypoglycemia) - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-problems/low-blood-glucose-hypoglycemia,Low blood glucose is common in people with type 1 diabetes and in many people with type 2 diabetes who use insulin or certain diabetes medicines.
diabetes_017,diabetes,hypoglycemia,symptoms,symptoms,explanation,patient,Low Blood Glucose (Hypoglycemia) - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-problems/low-blood-glucose-hypoglycemia,Hypoglycemia can make you feel shaky hungry tired dizzy confused irritable or as if your heart is beating too fast.
diabetes_018,diabetes,hypoglycemia,emergency,severe_warning,warning,patient,Low Blood Glucose (Hypoglycemia) - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-problems/low-blood-glucose-hypoglycemia,Very low blood glucose can cause seizures or loss of consciousness and needs treatment right away.
diabetes_019,diabetes,hypoglycemia,emergency,treatment,instruction,patient,Low Blood Glucose (Hypoglycemia) - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-problems/low-blood-glucose-hypoglycemia,Keep a glucagon kit available for severe hypoglycemia and consider wearing medical alert identification.
diabetes_020,diabetes,diabetic_kidney_disease,complications,silent_complication,warning,patient,Diabetic Kidney Disease - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-problems/diabetic-kidney-disease,Diabetic kidney disease often has no symptoms so testing is the only way to know if it is present.
diabetes_021,diabetes,diabetic_kidney_disease,diagnosis,testing,instruction,patient,Diabetic Kidney Disease - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-problems/diabetic-kidney-disease,People with type 2 diabetes and people with type 1 diabetes for more than 5 years should be tested every year for kidney disease.
diabetes_022,diabetes,diabetic_kidney_disease,complications,testing,faq,patient,Diabetic Kidney Disease - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-problems/diabetic-kidney-disease,Doctors use blood and urine tests to check for diabetic kidney disease.
diabetes_023,diabetes,diabetic_kidney_disease,prevention,prevention,counseling,patient,Diabetic Kidney Disease - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-problems/diabetic-kidney-disease,Reaching your blood glucose and blood pressure goals is one of the best ways to slow or prevent diabetes-related kidney disease.
diabetes_024,diabetes,diabetic_kidney_disease,prevention,lifestyle,instruction,patient,Diabetic Kidney Disease - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-problems/diabetic-kidney-disease,Stopping smoking limiting salt staying active and maintaining a healthy weight can help protect your kidneys.
eye_001,eye,cataracts,overview,definition,definition,patient,Cataracts | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/cataracts,A cataract is a cloudy area in the lens of the eye that can make vision blurry hazy or less colorful.
eye_002,eye,cataracts,symptoms,symptoms,explanation,patient,Cataracts | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/cataracts,Cataracts may start without obvious symptoms but over time they can interfere with reading night vision and other daily activities.
eye_003,eye,cataracts,treatment,treatment_overview,faq,patient,Cataracts | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/cataracts,Cataract surgery is a common and generally safe operation that can correct vision problems caused by cataracts.
eye_004,eye,cataracts,risk_factors,risk_factors,explanation,patient,Causes of Cataracts | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/cataracts/causes-cataracts,Diabetes smoking heavy alcohol use long sun exposure steroids and past eye injury or surgery can raise the risk of cataracts.
eye_005,eye,glaucoma,overview,silent_disease,warning,patient,Glaucoma | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/glaucoma,Glaucoma usually has no symptoms at first so many people do not know they have it.
eye_006,eye,glaucoma,symptoms,symptoms,explanation,patient,Glaucoma | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/glaucoma,Over time glaucoma often causes slow loss of side vision before central vision is affected.
eye_007,eye,glaucoma,emergency,emergency_warning,warning,patient,Glaucoma | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/glaucoma,Get urgent help for sudden intense eye pain red eye blurry vision or nausea because angle-closure glaucoma is an emergency.
eye_008,eye,glaucoma,diagnosis,screening,instruction,patient,Glaucoma | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/glaucoma,If you are at higher risk for glaucoma ask how often you need a comprehensive dilated eye exam.
eye_009,eye,glaucoma,treatment,treatment_overview,faq,patient,Glaucoma | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/glaucoma,Glaucoma treatment may include prescription eye drops laser therapy or surgery to lower eye pressure.
eye_010,eye,glaucoma,treatment,treatment_limitations,counseling,patient,Glaucoma | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/glaucoma,Treatment cannot reverse vision already lost from glaucoma but it can help stop the damage from getting worse.
eye_011,eye,dry_eye,overview,definition,definition,patient,Dry Eye | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/dry-eye,Dry eye happens when the eyes do not make enough tears or when the tears do not work well enough.
eye_012,eye,dry_eye,symptoms,symptoms,explanation,patient,Dry Eye | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/dry-eye,Dry eye can cause burning scratchiness red eyes blurry vision and sensitivity to light.
eye_013,eye,dry_eye,diagnosis,diagnosis,faq,patient,Dry Eye | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/dry-eye,Your doctor can check for dry eye during a comprehensive dilated eye exam and may measure tear amount tear stability and eyelid structure.
eye_014,eye,dry_eye,treatment,treatment_overview,faq,patient,Dry Eye | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/dry-eye,Treatment for dry eye may include artificial tears prescription eye drops tear-duct plugs or other measures based on the cause.
eye_015,eye,dry_eye,lifestyle,self_care,instruction,patient,Dry Eye | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/dry-eye,To ease dry eye try avoiding smoke and wind taking screen breaks using a humidifier drinking water and getting enough sleep.
eye_016,eye,diabetic_retinopathy,overview,definition,definition,patient,Diabetic Retinopathy | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/diabetic-retinopathy,Diabetic retinopathy damages the blood vessels in the retina and can cause vision loss or blindness in people with diabetes.
eye_017,eye,diabetic_retinopathy,symptoms,silent_disease,warning,patient,Diabetic Retinopathy | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/diabetic-retinopathy,Early diabetic retinopathy may have no symptoms even while damage is beginning.
eye_018,eye,diabetic_retinopathy,symptoms,symptoms,explanation,patient,Diabetic Retinopathy | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/diabetic-retinopathy,Later diabetic retinopathy can cause blurry vision and dark floating spots or streaks in your vision.
eye_019,eye,diabetic_retinopathy,diagnosis,screening,instruction,patient,Diabetic Retinopathy | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/diabetic-retinopathy,If you have diabetes get a comprehensive dilated eye exam at least once a year.
eye_020,eye,diabetic_retinopathy,prevention,prevention,counseling,patient,Diabetic Retinopathy | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/diabetic-retinopathy,Managing blood sugar blood pressure and cholesterol can help lower the risk of diabetic retinopathy and related vision loss.
eye_021,eye,dilated_eye_exam,prevention,screening_purpose,definition,patient,Get a Dilated Eye Exam | National Eye Institute,https://www.nei.nih.gov/eye-health-information/healthy-vision/finding-eye-doctor/get-dilated-eye-exam,A dilated eye exam is one of the best ways to detect eye disease early before it causes vision loss.
eye_022,eye,dilated_eye_exam,prevention,screening_schedule,instruction,patient,Get a Dilated Eye Exam | National Eye Institute,https://www.nei.nih.gov/eye-health-information/healthy-vision/finding-eye-doctor/get-dilated-eye-exam,Most people with diabetes or high blood pressure need a dilated eye exam at least once a year.
eye_023,eye,dilated_eye_exam,diagnosis,exam_steps,faq,patient,Get a Dilated Eye Exam | National Eye Institute,https://www.nei.nih.gov/eye-health-information/healthy-vision/finding-eye-doctor/get-dilated-eye-exam,A dilated eye exam may include tests of visual acuity peripheral vision eye movements pupil response eye pressure and dilation itself.
eye_024,eye,dilated_eye_exam,aftercare,aftercare,instruction,patient,Get a Dilated Eye Exam | National Eye Institute,https://www.nei.nih.gov/eye-health-information/healthy-vision/finding-eye-doctor/get-dilated-eye-exam,Your vision may stay blurry and your eyes may feel light-sensitive for a few hours after dilation so sunglasses and a ride home can help.
